geoid,var,value
05113,confidence,100
05113,koppen_14,1
05115,confidence,100
05115,koppen_14,1
05117,confidence,100
05117,koppen_14,1
05119,confidence,100
05119,koppen_14,1
05121,confidence,99.98438264124475
05121,koppen_14,1
05123,confidence,100
05123,koppen_14,1
05125,confidence,100
05125,koppen_14,1
05127,confidence,99.97717547445524
05127,koppen_14,1
05129,confidence,100
05129,koppen_14,1
05131,confidence,99.98775756971813
05131,koppen_14,1
05133,confidence,100
05133,koppen_14,1
05135,confidence,99.92070137159723
05135,koppen_14,1
05137,confidence,100
05137,koppen_14,1
05139,confidence,100
05139,koppen_14,1
05141,confidence,100
05141,koppen_14,1
05143,confidence,100
05143,koppen_14,1
05145,confidence,100
05145,koppen_14,1
05147,confidence,100
05147,koppen_14,1
05149,confidence,100
05149,koppen_14,1
06001,confidence,82.64678227699025
06001,koppen_7,0.040419917656549564
06001,koppen_8,0.3120631696464369
06001,koppen_9,0.6475169126970135
06003,confidence,82.4895703727262
06003,koppen_18,0.5254715498069393
06003,koppen_19,0.4649664913598188
06003,koppen_7,9.911539440257999e-5
06003,koppen_8,0.009462843438839222
06005,confidence,93.23624824612764
06005,koppen_18,0.1543562229496593
06005,koppen_19,0.00815993037251718
06005,koppen_8,0.740852676141249
06005,koppen_9,0.09663117053657456
06007,confidence,93.57070077448562
06007,koppen_18,0.016132012931889688
06007,koppen_8,0.8811954141898811
06007,koppen_9,0.10267257287822919
06009,confidence,94.5511950549626
06009,koppen_18,0.039811690073145396
06009,koppen_8,0.7804977797017066
06009,koppen_9,0.17969053022514794
06011,confidence,96.94356570694593
06011,koppen_8,0.9397263596103987
06011,koppen_9,0.0602736403896013
06013,confidence,81.22611333880894
06013,koppen_7,0.05996469422269654
06013,koppen_8,0.5496449297275278
06013,koppen_9,0.39039037604977567
06015,confidence,95.51108663724064
06015,koppen_9,1
06017,confidence,87.72461636009425
06017,koppen_18,0.293969927647288
06017,koppen_19,0.023597704295465087
06017,koppen_8,0.487436264608557
06017,koppen_9,0.1949961034486899
06019,confidence,76.43698424004349
06019,koppen_18,0.06274887788528086
06019,koppen_19,0.13254109515483722
06019,koppen_29,0.030505797449146457
06019,koppen_7,0.47417849097082676
06019,koppen_8,0.22183958012027669
06019,koppen_9,0.07818615841963203
06021,confidence,93.85447742419684
06021,koppen_8,0.8365060284797163
06021,koppen_9,0.16349397152028372
06023,confidence,92.87833353279223
06023,koppen_8,0.006972913977824535
06023,koppen_9,0.9930270860221755
06025,confidence,99.69882831795046
06025,koppen_4,0.9990473320825606
06025,koppen_7,9.526679174393778e-4
06027,confidence,78.86848620521158
06027,koppen_18,0.040488330869471054
06027,koppen_19,0.03256649092527238
06027,koppen_29,0.008359050220379343
06027,koppen_4,0.30740274178771115
06027,koppen_5,0.38960107970798386
06027,koppen_7,0.21735091489941333
06027,koppen_8,0.0015638948091826778
06027,koppen_9,0.0026674967805861943
06029,confidence,69.26293774393274
06029,koppen_18,0.0016016841728482742
06029,koppen_4,0.12113311077032757
06029,koppen_5,0.23028165538399614
06029,koppen_6,0.1109117476767632
06029,koppen_7,0.29247995653495096
06029,koppen_8,0.19368075350562652
06029,koppen_9,0.0499110919554873
06031,confidence,59.24807138516195
06031,koppen_4,0.034917885391427664
06031,koppen_5,0.14486668247594564
06031,koppen_6,0.038502204711240905
06031,koppen_7,0.7759112433977406
06031,koppen_8,0.005801984023645089
06033,confidence,74.40287930407959
06033,koppen_8,0.5301155463991283
06033,koppen_9,0.4698844536008717
06035,confidence,78.35270011540167
06035,koppen_17,0.031996429056656235
06035,koppen_18,0.5694149695013547
06035,koppen_5,0.016662540109859757
06035,koppen_7,0.3557618874571762
06035,koppen_8,0.010539510986989043
06035,koppen_9,0.01562466288796408
06037,confidence,84.4575056292293
06037,koppen_5,0.07590813851273737
06037,koppen_6,0.06036783180753783
06037,koppen_7,0.159197326302723
06037,koppen_8,0.6589241673248807
06037,koppen_9,0.04560253605212109
06039,confidence,73.55102310017107
06039,koppen_18,0.05374998238735273
06039,koppen_19,0.13065952115739918
06039,koppen_7,0.31881840578358983
06039,koppen_8,0.3692335435478654
06039,koppen_9,0.12753854712379284
06041,confidence,99.66458947994722
06041,koppen_9,1
06043,confidence,87.48961733915162
06043,koppen_18,0.09776616882149369
06043,koppen_19,0.06439914815843811
06043,koppen_8,0.7157973902967197
06043,koppen_9,0.12203729272334847
06045,confidence,85.29596663808144
06045,koppen_8,0.10127760219519144
06045,koppen_9,0.8987223978048086
06047,confidence,79.24310144001227
06047,koppen_7,0.736765942358411
06047,koppen_8,0.263234057641589
06049,confidence,80.87607333278697
06049,koppen_18,0.2684245179942263
06049,koppen_19,0.01734664627398527
06049,koppen_7,0.7078461793745485
06049,koppen_8,0.0016849425807159348
06049,koppen_9,0.004697713776523999
06051,confidence,75.6089483394579
06051,koppen_18,0.34447211671861816
06051,koppen_19,0.20901356976522376
06051,koppen_29,0.0054836447776466166
06051,koppen_5,0.1286493007150567
06051,koppen_7,0.308684400017842
06051,koppen_8,0.00369696800561282
06053,confidence,78.9890024623558
06053,koppen_7,0.021848372687045793
06053,koppen_8,0.27538623446848165
06053,koppen_9,0.7027653928444726
06055,confidence,83.19339521070157
06055,koppen_8,0.7176400209768076
06055,koppen_9,0.2823599790231925
06057,confidence,89.95241158979705
06057,koppen_18,0.3231817870606219
06057,koppen_8,0.5366101512327864
06057,koppen_9,0.14020806170659172
06059,confidence,68.53439171848684
06059,koppen_6,0.3373508265537622
06059,koppen_7,0.15104576981619056
06059,koppen_8,0.5116034036300472
06061,confidence,89.48704958828682
06061,koppen_18,0.34067990534341097
06061,koppen_8,0.48127182001271673
06061,koppen_9,0.1780482746438723
06063,confidence,82.35018501351784
06063,koppen_18,0.672530098141046
06063,koppen_8,0.026953895916621274
06063,koppen_9,0.3005160059423327
06065,confidence,87.46046768593862
06065,koppen_4,0.6127096502779162
06065,koppen_5,0.04395358891038731
06065,koppen_6,0.0807013250790801
06065,koppen_7,0.03470138675836664
06065,koppen_8,0.20977102484407523
06065,koppen_9,0.018163024130174458
06067,confidence,99.55254060783388
06067,koppen_8,1
06069,confidence,69.23846095430285
06069,koppen_7,0.07509237291091679
06069,koppen_8,0.5484271897279148
06069,koppen_9,0.3764804373611684
06071,confidence,90.19220940900388
06071,koppen_18,0.005412610613898141
06071,koppen_4,0.6108054099481778
06071,koppen_5,0.24260771666686246
06071,koppen_6,0.008948577713401552
06071,koppen_7,0.06002568361093117
06071,koppen_8,0.05598588007985998
06071,koppen_9,0.01621412136686889
06073,confidence,77.64349758690061
06073,koppen_4,0.13762484250351467
06073,koppen_5,0.006525608843090677
06073,koppen_6,0.0929856006222048
06073,koppen_7,0.18745712565046754
06073,koppen_8,0.5688812135376317
06073,koppen_9,0.006525608843090677
06075,confidence,96.99480373788921
06075,koppen_9,1
06077,confidence,89.49072126919366
06077,koppen_7,0.235401265863498
06077,koppen_8,0.764598734136502
06079,confidence,77.58915491077518
06079,koppen_7,0.2226655126865703
06079,koppen_8,0.2998112661738358
06079,koppen_9,0.4775232211395939
06081,confidence,99.40975636019024
06081,koppen_9,1
06083,confidence,79.56142202053968
06083,koppen_7,0.014929977417992006
06083,koppen_8,0.12257958002118541
06083,koppen_9,0.8624904425608226
06085,confidence,79.01115411560394
06085,koppen_8,0.44138315607690787
06085,koppen_9,0.5586168439230921
06087,confidence,99.37452036083056
06087,koppen_9,1
06089,confidence,81.2602160465737
06089,koppen_18,0.13368828214021214
06089,koppen_8,0.6046162947263346
06089,koppen_9,0.2616954231334533
06091,confidence,84.30130636796677
06091,koppen_18,0.6420810580519879
06091,koppen_8,0.04922396715436455
06091,koppen_9,0.3086949747936476
06093,confidence,74.14806011800158
06093,koppen_18,0.22921585129082953
06093,koppen_19,0.029152297046718692
06093,koppen_7,0.11456589355595424
06093,koppen_8,0.09821437125439217
06093,koppen_9,0.5288515868521054
06095,confidence,94.38732968608149
06095,koppen_8,0.9189406044801112
06095,koppen_9,0.08105939551988879
06097,confidence,88.8211785435411
06097,koppen_8,0.08537673041114936
06097,koppen_9,0.9146232695888507
06099,confidence,82.01871814984948
06099,koppen_7,0.4433787954424092
06099,koppen_8,0.5566212045575908
06101,confidence,100
06101,koppen_8,1
06103,confidence,91.32020085142676
06103,koppen_18,0.06327495736152502
06103,koppen_8,0.749198783951349
06103,koppen_9,0.187526258687126
06105,confidence,77.93097616795201
06105,koppen_18,0.046109252296419066
06105,koppen_19,0.03606051265719814
06105,koppen_8,0.10452861169556152
06105,koppen_9,0.8133016233508212
06107,confidence,71.31920636817847
06107,koppen_18,0.1582188127797722
06107,koppen_19,0.1280936856194063
06107,koppen_29,0.02150459114434233
06107,koppen_4,0.004187402001473386
06107,koppen_6,0.03600553467274979
06107,koppen_7,0.26450763641715214
06107,koppen_8,0.2728607874866777
06107,koppen_9,0.11462154987842617
06109,confidence,87.74165548633066
06109,koppen_18,0.1970356984411717
06109,koppen_19,0.22743093330541245
06109,koppen_29,0.0039479110511148816
06109,koppen_8,0.32169573046031624
06109,koppen_9,0.24988972674198476
06111,confidence,80.99525702349449
06111,koppen_7,0.012077898302136982
06111,koppen_8,0.4495537160379056
06111,koppen_9,0.5383683856599574
06113,confidence,98.28386871194664
06113,koppen_8,1
06115,confidence,96.39818475821788
06115,koppen_8,0.9877109746041478
06115,koppen_9,0.012289025395852221
08001,confidence,99.9496434903074
08001,koppen_7,1
08003,confidence,69.70972291591185
08003,koppen_27,0.018728848048062175
08003,koppen_5,0.5244507547600126
08003,koppen_7,0.45682039719192524
08005,confidence,98.37011087184894
08005,koppen_7,1
08007,confidence,81.96615205679223
08007,koppen_26,0.698794676019079
08007,koppen_27,0.18853588066072802
08007,koppen_7,0.11266944332019298
08009,confidence,99.99962482112666
08009,koppen_7,1
08011,confidence,100
08011,koppen_7,1
08013,confidence,89.67703244252552
08013,koppen_26,0.3460024945843001
08013,koppen_27,0.27072211940337826
08013,koppen_29,0.028548569443103362
08013,koppen_7,0.35472681656921823
08014,confidence,98.38057465361513
08014,koppen_7,1
08015,confidence,80.79872259768825
08015,koppen_27,0.37477450097659354
08015,koppen_29,0.2434983550019894
08015,koppen_7,0.38172714402141705
08017,confidence,100
08017,koppen_7,1
08019,confidence,88.75441137908213
08019,koppen_26,0.09747415000272833
08019,koppen_27,0.5530329499295564
08019,koppen_29,0.3494929000677152
08021,confidence,78.4757460057242
08021,koppen_26,0.0794389148015387
08021,koppen_27,0.39592011735848115
08021,koppen_5,0.03179559181992195
08021,koppen_7,0.49284537602005823
08023,confidence,85.61292530581945
08023,koppen_26,0.15329001773944892
08023,koppen_27,0.2186661675723098
08023,koppen_5,4.649936693233463e-5
08023,koppen_7,0.627997315321309
08025,confidence,98.86354276059046
08025,koppen_7,1
08027,confidence,74.56516507236995
08027,koppen_26,0.3383380262163621
08027,koppen_27,0.24149245027936803
08027,koppen_29,0.034670642985426596
08027,koppen_7,0.3854988805188433
08029,confidence,78.97977502865824
08029,koppen_26,0.06739280637923072
08029,koppen_27,0.15149772934633454
08029,koppen_5,0.23537871012009595
08029,koppen_7,0.5457307541543388
08031,confidence,99.69792131073204
08031,koppen_7,1
08033,confidence,80.49389174808543
08033,koppen_18,0.1038139580163524
